course_code,course_title,units,section_number,class_number,type,days,start_time,end_time,building,room,instructor,comment
CECS 80,FOUNDATIONS FOR DATA COMPUTING,1 Unit,01,11185,ACT,MW,3:30,4:20PM,ECS,405,Staff,Class instruction is: Face to Face - On Campus.
CECS 80,FOUNDATIONS FOR DATA COMPUTING,1 Unit,02,11349,ACT,MW,6:30,7:20PM,ECS,407,Staff,Class instruction is: Face to Face - On Campus.
CECS 105,INTRODUCTION TO CECS,1 Unit,01,8594,SEM,M,1,1:50PM,ECS,414,Nguyen K,Class instruction is: Face to Face - On Campus.Class offered with CECS-105H-01
CECS 105,INTRODUCTION TO CECS,1 Unit,02,8596,SEM,W,1,1:50PM,ECS,414,Nguyen K,Class instruction is: Face to Face - On Campus.
CECS 105H,INTRODUCTION TO CECS,1 Unit,01,8595,SEM,M,1,1:50PM,ECS,414,Nguyen K,Class instruction is: Face to Face - On Campus.Class offered with CECS-105-01
CECS 174,INTRO PROG & PROBLEM SOLVING,3 Units,01,3206,SEM,MW,8,8:50AM,COB-139A,,Nguyen K,Class instruction is: Face to Face - On Campus.
CECS 174,INTRO PROG & PROBLEM SOLVING,3 Units,02,3207,LAB,MW,9,10:15AM,VEC,331,Staff,Class instruction is: Face to Face - On Campus.
CECS 174,INTRO PROG & PROBLEM SOLVING,3 Units,03,4112,LAB,MW,9,10:15AM,VEC,417,Staff,Class instruction is: Face to Face - On Campus.
CECS 174,INTRO PROG & PROBLEM SOLVING,3 Units,04,4113,LAB,MW,10:30,11:45AM,ECS,403,Staff,Class instruction is: Face to Face - On Campus.
CECS 174,INTRO PROG & PROBLEM SOLVING,3 Units,05,4494,LAB,MW,10:30,11:45AM,ECS,407,Staff,Class instruction is: Face to Face - On Campus.
CECS 180,DATA COMPUTING FOR EVERYONE,3 Units,01,11184,SEM,MW,2,3:15PM,ECS,405,Zhang W,Class instruction is: Face to Face - On Campus.
CECS 180,DATA COMPUTING FOR EVERYONE,3 Units,02,11307,SEM,MW,5,6:15PM,ECS,306,Yaghmaei E,Class instruction is: Face to Face - On Campus.
CECS 201,COMPUTER LOGIC DESIGN I,3 Units,01,3437,SEM,MW,8,8:50AM,VEC,518,Trajkovic J,Class instruction is: Face to Face - On Campus.
CECS 201,COMPUTER LOGIC DESIGN I,3 Units,02,3438,LAB,MW,9,10:15AM,ECS,413,Trajkovic J,Class instruction is: Face to Face - On Campus.
CECS 201,COMPUTER LOGIC DESIGN I,3 Units,03,7341,LAB,MW,10:30,11:45AM,ECS,413,Trajkovic J,Class instruction is: Face to Face - On Campus.
CECS 211,PRIN OF COMPUTER ENGINEERING I,3 Units,01,2920,SEM,TuTh,9:30,10:20AM,ECS,411,Hernandez E,Class instruction is: Face to Face - On Campus.
CECS 211,PRIN OF COMPUTER ENGINEERING I,3 Units,02,2921,LAB,TuTh,10:30,11:45AM,ECS,411,Hernandez E,Class instruction is: Face to Face - On Campus.
CECS 225,DIGITAL LOGIC AND ASSEMBLY PRO,3 Units,01,4830,SEM,TuTh,8,9:15AM,HC,120,Nachawati S,Class instruction is: Face to Face - On Campus.
CECS 225,DIGITAL LOGIC AND ASSEMBLY PRO,3 Units,02,4831,SEM,MW,12:30,1:45PM,HC,120,Wu X,Class instruction is: Face to Face - On Campus.
CECS 228,DISCRETE STRUC-COMPUTING APPL,3 Units,01,1129,SEM,Sa,1,3:45PM,ECS,105,Mehrnia A,Class instruction is: Face to Face - On Campus.
CECS 228,DISCRETE STRUC-COMPUTING APPL,3 Units,02,1130,SEM,MW,8,9:15AM,HC,120,Maples T,Class instruction is: Face to Face - On Campus.Class offered with CECS-228H-01
CECS 228,DISCRETE STRUC-COMPUTING APPL,3 Units,03,8578,SEM,TuTh,12:30,1:45PM,ECS,414,Hu D,Class instruction is: Face to Face - On Campus.
CECS 228H,DISCRETE STRUC-COMPUTING APPL,3 Units,01,7059,SEM,MW,8,9:15AM,HC,120,Maples T,Class instruction is: Face to Face - On Campus.Class offered with CECS-228-02
CECS 229,DISCRETE STRUCT COMP APPLIC II,3 Units,01,4828,SEM,F,12,2:45PM,COB,139,Ghasemkhani A,Class instruction is: Face to Face - On Campus.Class offered with CECS-229H-01
CECS 229,DISCRETE STRUCT COMP APPLIC II,3 Units,02,4829,SEM,TuTh,2,3:15PM,COB-140A,,Varela K,Class instruction is: Face to Face - On Campus.
CECS 229H,DISCRETE STRUCT COMP APPLIC II,3 Units,01,11332,SEM,F,12,2:45PM,COB,139,Ghasemkhani A,Class instruction is: Face to Face - On Campus.Class offered with CECS-229-01
CECS 262,INTRO TO EMBEDDED SYST PROG,3 Units,01,3609,SEM,F,8,9:40AM,ECS,411,Hernandez E,Class instruction is: Face to Face - On Campus.
CECS 262,INTRO TO EMBEDDED SYST PROG,3 Units,02,3610,LAB,F,10,12:30PM,ECS,411,Hernandez E,Class instruction is: Face to Face - On Campus.
CECS 271,INTRO TO NUMERICAL METHODS,3 Units,01,2872,SEM,MW,2,3:15PM,ECS,412,Yaghmaei E,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,01,3208,SEM,F,8,9:40AM,ECS,105,Varela K,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,02,3209,LAB,F,10,12:30PM,ECS,413,Staff,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,03,3414,LAB,F,1,3:30PM,ECS,413,Staff,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,04,3415,LAB,F,1,3:30PM,ECS,405,Staff,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,05,4076,LAB,F,10,12:45PM,ECS,405,Staff,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,06,4077,SEM,TuTh,12:30,1:20PM,VEC,518,Varela K,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,07,4866,LAB,TuTh,1:30,2:45PM,ECS,308,Staff,Class instruction is: Face to Face - On Campus.
CECS 274,DATA STRUCTURES,3 Units,08,11040,LAB,TuTh,1:30,2:45PM,ECS,416,Staff,Class instruction is: Face to Face - On Campus.
CECS 275,PROGRAMMING AND DATA STRUCTURE,3 Units,01,6550,SEM,MW,5:30,6:20PM,ECS,308,Nguyen M,Class instruction is: Face to Face - On Campus.
CECS 275,PROGRAMMING AND DATA STRUCTURE,3 Units,02,6551,LAB,MW,6:30,7:45PM,ECS,403,Nguyen M,Class instruction is: Face to Face - On Campus.
CECS 277,OBJ ORIENTED APPL DEVELOPMENT,3 Units,01,2353,SEM,TuTh,9,9:50AM,ECS,105,Cleary S,Class instruction is: Face to Face - On Campus.
CECS 277,OBJ ORIENTED APPL DEVELOPMENT,3 Units,02,2354,LAB,TuTh,10,11:15AM,ECS,405,Staff,Class instruction is: Face to Face - On Campus.
CECS 277,OBJ ORIENTED APPL DEVELOPMENT,3 Units,03,2588,LAB,TuTh,10,11:15AM,ECS,416,Staff,Class instruction is: Face to Face - On Campus.
CECS 277,OBJ ORIENTED APPL DEVELOPMENT,3 Units,04,2589,LAB,TuTh,12,1:15PM,ECS,416,Staff,Class instruction is: Face to Face - On Campus.
CECS 277,OBJ ORIENTED APPL DEVELOPMENT,3 Units,05,3776,LAB,TuTh,12,1:15PM,ECS,405,Staff,Class instruction is: Face to Face - On Campus.
CECS 301,COMPUTER LOGIC DESIGN II,3 Units,01,1131,SEM,TuTh,2,2:50PM,ECS,405,Rezaei A,Class instruction is: Face to Face - On Campus.Class offered with CECS-301H-01
CECS 301,COMPUTER LOGIC DESIGN II,3 Units,02,2232,LAB,TuTh,3,4:15PM,ECS,405,Rezaei A,Class instruction is: Face to Face - On Campus.Class offered with CECS-301H-02
CECS 301H,COMPUTER LOGIC DESIGN II,3 Units,01,11334,SEM,TuTh,2,2:50PM,ECS,405,Rezaei A,Class instruction is: Face to Face - On Campus.Class offered with CECS-301-01
CECS 301H,COMPUTER LOGIC DESIGN II,3 Units,02,11336,LAB,TuTh,3,4:15PM,ECS,405,Rezaei A,Class instruction is: Face to Face - On Campus.Class offered with CECS-301-02
CECS 302,INTRO TO COMPUTER FORENSICS,3 Units,03,10138,SEM,MW,7,7:50PM,VEC,330,Uuh L,Class instruction is: Face to Face - On Campus.
CECS 302,INTRO TO COMPUTER FORENSICS,3 Units,04,10139,LAB,MW,8,9:15PM,VEC,330,Uuh L,Class instruction is: Face to Face - On Campus.
CECS 303,NETWORKS AND NETWORK SECURITY,3 Units,03,7504,SEM,TuTh,5,5:50PM,ECS,413,Samayoa C,Class instruction is: Face to Face - On Campus.
CECS 303,NETWORKS AND NETWORK SECURITY,3 Units,04,7505,LAB,TuTh,6,7:15PM,ECS,413,Samayoa C,Class instruction is: Face to Face - On Campus.
CECS 311,PRIN OF COMPUTER ENGINEERNG II,3 Units,01,4090,SEM,MW,8,8:50AM,ECS,411,Hernandez E,Class instruction is: Face to Face - On Campus.
CECS 311,PRIN OF COMPUTER ENGINEERNG II,3 Units,02,4495,LAB,MW,9,10:15AM,ECS,411,Hernandez E,Class instruction is: Face to Face - On Campus.
CECS 323,DATABASE FUNDAMENTALS,3 Units,01,3781,SEM,MW,3:30,4:45PM,ECS,404,Brown D,Class instruction is: Face to Face - On Campus.
CECS 323,DATABASE FUNDAMENTALS,3 Units,02,4091,SEM,TuTh,3:30,4:45PM,ECS,412,Terrell N,Class instruction is: Face to Face - On Campus.
CECS 323,DATABASE FUNDAMENTALS,3 Units,03,4179,SEM,MW,12:30,1:45PM,ECS,302,Brown D,Class instruction is: Face to Face - On Campus.
CECS 323,DATABASE FUNDAMENTALS,3 Units,04,6553,SEM,TuTh,2,3:15PM,ECS,412,Terrell N,Class instruction is: Face to Face - On Campus.
CECS 323,DATABASE FUNDAMENTALS,3 Units,05,7467,SEM,MW,8,9:15AM,ECS,414,Brown D,Class instruction is: Face to Face - On Campus.
CECS 325,SYSTEM PROGRAMMING,3 Units,01,7060,SEM,MW,6,7:15PM,HC,120,Gold S,Class instruction is: Face to Face - On Campus.
CECS 325,SYSTEM PROGRAMMING,3 Units,02,7063,SEM,TuTh,5,6:15PM,HSCI,102,Gold S,Class instruction is: Face to Face - On Campus.
CECS 326,OPERATING SYSTEMS,3 Units,01,1132,SEM,TuTh,5,6:15PM,HC,120,Luti M,Class instruction is: Face to Face - On Campus.
CECS 326,OPERATING SYSTEMS,3 Units,02,4092,SEM,MW,3:30,4:45PM,HC,120,Xu H,Class instruction is: Face to Face - On Campus.
CECS 327,INTRO NETWORKS & DIST COMPUT,3 Units,01,4093,SEM,MW,5,6:15PM,PSY,150,Xu H,Class instruction is: Face to Face - On Campus.
CECS 327,INTRO NETWORKS & DIST COMPUT,3 Units,02,11273,SEM,TuTh,5,6:15PM,LA4,120,Morales Ponce O,Class instruction is: Face to Face - On Campus.Class offered with CECS-327H-01
CECS 327H,INTRO NETWORKS & DIST COMPUT,3 Units,01,7399,SEM,TuTh,5,6:15PM,LA4,120,Morales Ponce O,Class instruction is: Face to Face - On Campus.Class offered with CECS-327-02
CECS 328,ALGORITHMS,3 Units,01,1133,SEM,MW,2,3:15PM,DESN,112,Goldstein D,Class instruction is: Face to Face - On Campus.
CECS 328,ALGORITHMS,3 Units,04,7325,SEM,MW,6:30,7:45PM,HC,100,Sharifian A,Class instruction is: Face to Face - On Campus.Class offered with CECS-328H-04
CECS 328H,ALGORITHMS,3 Units,04,7326,SEM,MW,6:30,7:45PM,HC,100,Sharifian A,Class instruction is: Face to Face - On Campus.Class offered with CECS-328-04
